iter	Passed	Remaining
434	940	1221
435	942	1219
436	944	1217
437	947	1215
438	949	1213
439	952	1211
440	954	1210
441	956	1207
442	958	1205
443	961	1203
444	963	1201
445	965	1198
446	966	1195
447	968	1193
448	969	1190
449	971	1187
450	973	1185
451	975	1182
452	977	1180
453	978	1177
454	980	1174
455	981	1171
456	983	1168
457	985	1166
458	986	1163
459	988	1160
460	989	1157
461	991	1154
462	992	1151
463	994	1148
464	995	1145
465	997	1143
466	999	1140
467	1000	1137
468	1002	1134
469	1004	1133
470	1007	1131
471	1009	1129
472	1012	1127
473	1014	1125
474	1017	1124
475	1019	1121
476	1021	1119
477	1023	1118
478	1026	1116
479	1028	1114
480	1031	1112
481	1033	1110
482	1035	1108
483	1038	1106
484	1040	1104
485	1042	1102
486	1044	1100
487	1047	1098
488	1049	1096
489	1051	1094
490	1053	1092
491	1055	1090
492	1058	1088
493	1060	1086
494	1063	1084
495	1065	1082
496	1067	1080
497	1070	1078
498	1072	1076
499	1074	1074
500	1076	1071
501	1078	1069
502	1080	1067
503	1082	1065
504	1085	1063
505	1087	1061
506	1089	1059
507	1091	1057
508	1094	1055
509	1096	1053
510	1099	1051
511	1101	1049
512	1103	1047
513	1105	1045
514	1108	1043
515	1110	1042
516	1113	1040
517	1115	1038
518	1118	1036
519	1120	1034
520	1122	1032
521	1125	1030
522	1127	1028
523	1130	1026
524	1132	1024
525	1134	1022
526	1137	1020
527	1139	1018
528	1142	1017
529	1144	1015
530	1147	1013
531	1149	1011
532	1152	1009
533	1155	1008
534	1157	1006
535	1160	1004
536	1162	1002
537	1165	1000
538	1167	998
539	1170	996
540	1172	994
541	1174	992
542	1176	990
543	1179	988
544	1182	986
545	1184	984
546	1186	982
547	1188	980
548	1191	978
549	1193	976
550	1195	974
551	1197	971
552	1199	969
553	1201	967
554	1203	964
555	1205	962
556	1206	959
557	1208	957
558	1210	955
559	1212	952
560	1214	950
561	1215	947
562	1217	944
563	1218	942
564	1220	939
565	1222	937
566	1224	934
567	1225	932
568	1227	929
569	1230	928
570	1231	925
571	1233	923
572	1235	920
573	1237	918
574	1238	915
575	1240	913
576	1241	910
577	1243	907
578	1245	905
579	1246	902
580	1248	900
581	1250	897
582	1251	895
583	1253	892
584	1255	890
585	1256	887
586	1258	885
587	1259	882
588	1261	880
589	1263	877
590	1265	875
591	1267	873
592	1269	870
593	1270	868
594	1272	866
595	1274	863
596	1275	861
597	1277	858
598	1278	856
599	1280	853
600	1282	851
601	1283	848
602	1285	846
603	1287	843
604	1288	841
605	1290	839
606	1292	837
607	1294	834
608	1296	832
609	1297	829
610	1299	827
611	1301	825
612	1303	822
613	1304	820
614	1306	818
615	1308	815
616	1310	813
617	1311	810
618	1313	808
619	1315	806
620	1316	803
621	1318	801
622	1320	798
623	1321	796
624	1323	794
625	1325	791
626	1327	789
627	1328	787
628	1330	784
629	1332	782
630	1333	779
631	1335	777
632	1336	775
633	1338	772
634	1340	770
635	1342	768
636	1343	765
637	1345	763
638	1347	761
639	1348	758
640	1350	756
641	1352	754
642	1353	751
643	1355	749
644	1357	747
645	1358	744
646	1360	742
647	1361	739
648	1363	737
649	1365	735
650	1366	732
651	1368	730
652	1370	728
653	1371	725
654	1373	723
655	1375	721
656	1377	718
657	1378	716
658	1380	714
659	1381	711
660	1383	709
661	1385	707
662	1386	704
663	1388	702
664	1390	700
665	1391	697
666	1393	695
667	1395	693
668	1397	691
669	1398	688
670	1400	686
671	1401	684
672	1403	681
673	1404	679
674	1406	677
675	1408	675
676	1410	672
677	1411	670
678	1413	668
679	1414	665
680	1416	663
681	1417	661
682	1419	658
683	1421	656
684	1422	654
685	1424	652
686	1426	649
687	1427	647
688	1429	645
689	1431	642
690	1432	640
691	1434	638
692	1435	636
693	1438	634
694	1440	632
695	1441	629
696	1443	627
697	1446	625
698	1447	623
699	1449	621
700	1451	618
701	1452	616
702	1454	614
703	1456	612
704	1457	609
705	1459	607
706	1461	605
707	1462	603
708	1464	601
709	1466	598
710	1468	596
711	1469	594
712	1471	592
713	1473	590
714	1474	587
715	1476	585
716	1477	583
717	1479	581
718	1481	579
719	1483	576
720	1484	574
721	1486	572
722	1487	570
723	1489	567
724	1490	565
725	1492	563
726	1494	561
727	1496	559
728	1497	556
729	1499	554
730	1501	552
731	1504	550
732	1506	548
733	1508	546
734	1511	544
735	1513	542
736	1515	540
737	1517	538
738	1519	536
739	1521	534
740	1523	532
741	1525	530
742	1527	528
743	1529	526
744	1531	524
745	1533	522
746	1535	520
747	1537	517
748	1539	516
749	1541	513
750	1544	511
751	1546	510
752	1548	508
753	1550	506
754	1553	504
755	1555	502
756	1558	500
757	1560	498
758	1562	496
759	1564	494
760	1566	491
761	1568	489
762	1571	487
763	1572	485
764	1574	483
765	1576	481
766	1578	479
767	1580	477
768	1583	475
769	1584	473
770	1587	471
771	1589	469
772	1591	467
773	1593	465
774	1595	463
775	1597	461
776	1600	459
777	1602	457
778	1604	455
779	1606	453
780	1608	451
781	1610	448
782	1612	446
783	1614	444
784	1616	442
785	1618	440
786	1620	438
787	1622	436
788	1624	434
789	1625	432
790	1627	430
791	1629	427
792	1631	425
793	1633	423
794	1635	421
795	1636	419
796	1638	417
797	1640	415
798	1642	413
799	1644	411
800	1646	409
801	1648	407
802	1650	404
803	1652	402
804	1654	400
805	1656	398
806	1659	396
807	1661	394
808	1663	392
809	1665	390
810	1667	388
811	1669	386
812	1671	384
813	1673	382
814	1675	380
815	1677	378
816	1679	376
817	1681	374
818	1684	372
819	1686	370
820	1688	368
821	1690	366
822	1692	364
823	1694	362
824	1697	360
825	1699	357
826	1701	355
827	1703	353
828	1705	351
829	1707	349
830	1709	347
831	1711	345
832	1713	343
833	1715	341
834	1717	339
835	1719	337
836	1721	335
837	1724	333
838	1725	331
839	1727	329
840	1729	327
841	1731	324
842	1733	322
843	1735	320
844	1737	318
845	1739	316
846	1741	314
847	1743	312
848	1745	310
849	1748	308
850	1750	306
851	1752	304
852	1754	302
853	1756	300
854	1757	298
855	1759	295
856	1761	293
857	1763	291
858	1765	289
859	1767	287
860	1769	285
861	1771	283
862	1772	281
863	1775	279
864	1777	277
865	1779	275
866	1781	273
867	1783	271
868	1785	269
869	1787	267
870	1789	265
871	1791	262
872	1793	260
873	1795	258
874	1796	256
875	1798	254
876	1800	252
877	1802	250
878	1804	248
879	1807	246
880	1809	244
881	1810	242
882	1812	240
883	1813	238
884	1815	235
885	1817	233
886	1818	231
887	1820	229
888	1822	227
889	1823	225
890	1825	223
891	1826	221
892	1828	219
893	1830	217
894	1831	214
895	1833	212
896	1835	210
897	1837	208
898	1839	206
899	1841	204
900	1843	202
901	1845	200
902	1846	198
903	1848	196
904	1850	194
905	1852	192
906	1854	190
907	1857	188
908	1859	186
909	1861	184
910	1864	182
911	1866	180
912	1867	177
913	1870	175
914	1872	173
915	1873	171
916	1875	169
917	1877	167
918	1879	165
919	1881	163
920	1883	161
921	1885	159
922	1887	157
923	1889	155
924	1892	153
925	1893	151
926	1896	149
927	1897	147
928	1899	145
929	1901	143
930	1903	141
931	1905	138
932	1907	136
933	1909	134
934	1911	132
935	1913	130
936	1915	128
937	1917	126
938	1918	124
939	1920	122
940	1923	120
941	1924	118
942	1926	116
943	1928	114
944	1930	112
945	1931	110
946	1934	108
947	1935	106
948	1937	104
949	1939	102
950	1941	100
951	1943	98
952	1945	95
953	1947	93
954	1949	91
955	1951	89
956	1953	87
957	1955	85
958	1956	83
959	1958	81
960	1960	79
961	1962	77
962	1964	75
963	1966	73
964	1968	71
965	1970	69
966	1972	67
967	1973	65
968	1974	63
969	1976	61
970	1978	59
971	1979	57
972	1981	54
973	1982	52
974	1984	50
975	1985	48
976	1987	46
977	1988	44
978	1990	42
979	1992	40
980	1993	38
981	1994	36
982	1996	34
983	1998	32
984	1999	30
985	2001	28
986	2002	26
987	2004	24
988	2006	22
989	2007	20
990	2009	18
991	2011	16
992	2013	14
993	2014	12
994	2016	10
995	2018	8
996	2020	6
997	2022	4
998	2023	2
999	2025	0
