iter	RMSE
230	7.785761085
231	7.782747842
232	7.781493532
233	7.776392261
234	7.770282704
235	7.769036426
236	7.765731306
237	7.762471435
238	7.75874445
239	7.757762088
240	7.756557652
241	7.755343797
242	7.75030658
243	7.744741308
244	7.743798084
245	7.740928771
246	7.738576683
247	7.737348868
248	7.733330118
249	7.732219047
250	7.729812606
251	7.728630982
252	7.727588251
253	7.726338678
254	7.721541534
255	7.712851907
256	7.708358473
257	7.703025135
258	7.694784205
259	7.68887276
260	7.681194392
261	7.680085293
262	7.676210707
263	7.673509981
264	7.672538074
265	7.671447628
266	7.667756968
267	7.666727077
268	7.665686632
269	7.661057195
270	7.658691092
271	7.654790224
272	7.650975669
273	7.647185612
274	7.641997412
275	7.637793977
276	7.635134652
277	7.62922548
278	7.62590173
279	7.622262271
280	7.618195587
281	7.614485856
282	7.609570727
283	7.605079598
284	7.603864174
285	7.599982331
286	7.596851359
287	7.595955093
288	7.593332291
289	7.589901876
290	7.588925065
291	7.587763769
292	7.586759369
293	7.580538195
294	7.579552889
295	7.574287902
296	7.573007179
297	7.56909916
298	7.566039157
299	7.559843306
300	7.557029296
301	7.55050204
302	7.543640567
303	7.539493473
304	7.538623225
305	7.537548771
306	7.536545227
307	7.535675928
308	7.53277192
309	7.527316845
310	7.524716654
311	7.519711961
312	7.513596516
313	7.508404087
314	7.50345883
315	7.501012846
316	7.500009843
317	7.493693576
318	7.489910727
319	7.488784443
320	7.485232123
321	7.484061695
322	7.479058878
323	7.476340655
324	7.472651995
325	7.469647127
326	7.466932529
327	7.463982853
328	7.460235614
329	7.456568676
330	7.453359858
331	7.452498304
332	7.450892018
333	7.447200113
334	7.446402357
335	7.441619761
336	7.436794487
337	7.433036623
338	7.430379264
339	7.425546963
340	7.418406005
341	7.417530183
342	7.411996238
343	7.407597523
344	7.401688462
345	7.397350522
346	7.394605825
347	7.393788612
348	7.390313334
349	7.3876833
350	7.386942612
351	7.384125018
352	7.3811589
353	7.377010423
354	7.376288956
355	7.375461507
356	7.372032541
357	7.369877868
358	7.365313592
359	7.361313239
360	7.360279818
361	7.356728879
362	7.352803101
363	7.350564102
364	7.348290283
365	7.345476756
366	7.342094739
367	7.338176409
368	7.334963301
369	7.33258275
370	7.330343499
371	7.326518145
372	7.321666215
373	7.320780056
374	7.318470759
375	7.312085295
376	7.307377473
377	7.305651037
378	7.302388261
379	7.299093398
380	7.293085684
381	7.286474049
382	7.282048318
383	7.277527247
384	7.27594164
385	7.269701558
386	7.266147466
387	7.261074879
388	7.256344899
389	7.254649288
390	7.252150054
391	7.249620938
392	7.24895344
393	7.248316362
394	7.246171284
395	7.244558186
396	7.243769735
397	7.241143275
398	7.238536775
399	7.234746707
400	7.232393989
401	7.229841523
402	7.229070562
403	7.228201636
404	7.226469423
405	7.222138296
406	7.221294729
407	7.220606283
408	7.215906592
409	7.213543469
410	7.206908311
411	7.203696713
412	7.199032953
413	7.196821768
414	7.196107075
415	7.192477725
416	7.188619187
417	7.187790881
418	7.185009977
419	7.180055833
420	7.176799231
421	7.174788953
422	7.17243482
423	7.169849356
424	7.167505979
425	7.163147655
426	7.159824052
427	7.15760147
428	7.154513684
429	7.152740561
430	7.150515238
431	7.147502747
432	7.146988653
433	7.14635451
434	7.141226893
435	7.138026758
436	7.135312017
437	7.129638309
438	7.126315153
439	7.12354521
440	7.121155194
441	7.118400911
442	7.11575063
443	7.115297828
444	7.113106788
445	7.111816076
446	7.111110386
447	7.109848158
448	7.109049766
449	7.104787083
450	7.10301712
451	7.10159422
452	7.096683949
453	7.095558342
454	7.092978972
455	7.090768276
456	7.088297284
457	7.087574099
458	7.084081748
459	7.082674497
460	7.07756307
461	7.075635036
462	7.074001676
463	7.070135497
464	7.066371124
465	7.063763648
466	7.060648957
467	7.057545649
468	7.055749635
469	7.054622117
470	7.05248689
471	7.049196889
472	7.046803955
473	7.045183424
474	7.043184168
475	7.039642088
476	7.036095599
477	7.034227961
478	7.03354868
479	7.031423472
480	7.028699488
481	7.024939061
482	7.021258328
483	7.019634681
484	7.017752524
485	7.015954467
486	7.011809862
487	7.008800622
488	7.007264786
489	7.006847179
490	7.004890121
491	7.002152873
492	6.99757669
493	6.995339329
494	6.990881503
495	6.985413065
496	6.982858267
497	6.981838101
498	6.980165457
499	6.977882011
500	6.977323853
501	6.973937275
502	6.971838968
503	6.969216536
504	6.96720767
505	6.96459524
506	6.959923753
507	6.957337882
508	6.955468922
509	6.953474924
510	6.948690814
511	6.948097145
512	6.944985482
513	6.943529056
514	6.942018828
515	6.941331811
516	6.940856145
517	6.935901941
518	6.933665908
519	6.930975479
520	6.92705062
521	6.924176012
522	6.921613564
523	6.920528695
524	6.919336062
525	6.918379312
526	6.915583533
527	6.911504223
528	6.907678529
529	6.903781301
530	6.902774744
531	6.899190517
532	6.897010875
533	6.893386164
534	6.891287298
535	6.888255839
536	6.887099368
537	6.885255152
538	6.882282409
539	6.878976556
540	6.877064809
541	6.874404546
542	6.873990239
543	6.872765872
544	6.868984289
545	6.868602663
546	6.867175649
547	6.865689287
548	6.86334696
549	6.860422582
550	6.857827263
551	6.85745118
552	6.854791919
553	6.852361371
554	6.851676621
555	6.851072118
556	6.850051743
557	6.849546325
558	6.847370626
559	6.844945571
560	6.841563264
561	6.838731382
562	6.838121962
563	6.836608513
564	6.834215904
565	6.833531136
566	6.830962781
567	6.82865076
568	6.825700086
569	6.823969801
570	6.822289321
571	6.821893452
572	6.821427112
573	6.817589945
574	6.816230799
575	6.814156201
576	6.811348207
577	6.809049574
578	6.808070047
579	6.80676716
580	6.806252473
581	6.804316947
582	6.802458351
583	6.80079159
584	6.799788025
585	6.798405537
586	6.793838041
587	6.791505544
588	6.788993495
589	6.784922258
590	6.783044107
591	6.782420762
592	6.779998071
593	6.778368942
594	6.776820905
595	6.774980556
596	6.774553317
597	6.774136807
598	6.77192348
599	6.767916647
600	6.763910459
601	6.759157107
602	6.756692856
603	6.754671871
604	6.752264405
605	6.751783571
606	6.749007953
607	6.74583023
608	6.743522756
609	6.742954741
610	6.741013901
611	6.737996924
612	6.737174019
613	6.736233497
614	6.734704934
615	6.734131418
616	6.733150663
617	6.731255341
618	6.728970058
619	6.727060776
620	6.723922126
621	6.722279564
622	6.721826193
623	6.718696518
624	6.715334378
625	6.71298762
626	6.710374065
627	6.708580788
628	6.706950133
629	6.70340828
630	6.70152327
631	6.700527881
632	6.698376532
633	6.693962047
634	6.691851748
635	6.69042672
636	6.686875189
637	6.686089696
638	6.682166868
639	6.681660969
640	6.679414139
641	6.677676069
642	6.673687759
643	6.672301394
644	6.669487178
645	6.666640888
646	6.666289119
647	6.665987298
648	6.665534734
649	6.663185867
650	6.661519449
651	6.65937873
652	6.657506985
653	6.655895925
654	6.653452757
655	6.649283087
656	6.647459702
657	6.643816404
658	6.642532409
659	6.640028594
660	6.638368623
661	6.638020151
662	6.636550534
663	6.634933645
664	6.634643643
665	6.630146156
666	6.629011135
667	6.626717363
668	6.624234749
669	6.622810622
670	6.62010865
671	6.617770527
672	6.617504996
673	6.615573108
674	6.613242077
675	6.611284514
676	6.610531587
677	6.607478589
678	6.605486682
679	6.603582929
680	6.600160124
681	6.598874971
682	6.596784149
683	6.595868442
684	6.595397707
685	6.593704886
686	6.5913542
687	6.589527794
688	6.587882146
689	6.585444654
690	6.582953268
691	6.579895002
692	6.579521162
693	6.577105173
694	6.573636007
695	6.573322246
696	6.570642212
697	6.567991674
698	6.565881465
699	6.562580063
700	6.562090916
701	6.55834375
702	6.55612552
703	6.555694351
704	6.553698747
705	6.552107287
706	6.548355354
707	6.547037626
708	6.546686997
709	6.545438867
710	6.543430846
711	6.540019577
712	6.536980277
713	6.533285648
714	6.532108238
715	6.530803525
716	6.528871929
717	6.527211121
718	6.52606264
719	6.525620754
720	6.523421884
721	6.522562356
722	6.522273158
723	6.520853017
724	6.519927491
725	6.516518999
726	6.512916497
727	6.511924249
728	6.511607229
729	6.509769116
730	6.508108259
731	6.506546416
732	6.504815261
733	6.503325726
734	6.501941413
735	6.499668635
736	6.498201144
737	6.49616779
738	6.494457028
739	6.491700054
740	6.490009703
741	6.487290895
742	6.485562637
743	6.484893834
744	6.4827299
745	6.482389068
746	6.481875067
747	6.478986148
748	6.477337457
749	6.476032478
750	6.47477884
751	6.473322229
752	6.472011988
753	6.470792783
754	6.469252385
755	6.467465387
756	6.465617398
757	6.464431579
758	6.463237405
759	6.460476145
760	6.45764639
761	6.456272358
762	6.453878915
763	6.452163629
764	6.450163072
765	6.449819298
766	6.448399181
767	6.446232398
768	6.444720754
769	6.444389654
770	6.44309593
771	6.440063666
772	6.438933195
773	6.437141449
774	6.436048241
775	6.434824422
776	6.433224549
777	6.432738841
778	6.432123701
779	6.429022701
780	6.426904469
781	6.425565576
782	6.424139361
783	6.423364264
784	6.41933769
785	6.418270823
786	6.415827484
787	6.413840757
788	6.412142625
789	6.411903978
790	6.409504421
791	6.406924473
792	6.405664516
793	6.404825235
794	6.403413609
795	6.402841496
796	6.401069635
797	6.398362766
798	6.396355883
799	6.395671963
800	6.394181474
801	6.392416469
802	6.391272813
803	6.389378042
804	6.388493518
805	6.387700239
806	6.385895462
807	6.385583887
808	6.384061151
809	6.382415
810	6.382152124
811	6.379513837
812	6.377904
813	6.376364408
814	6.373660293
815	6.372262633
816	6.371950903
817	6.369565071
818	6.366722927
819	6.366383907
820	6.365624105
821	6.362517919
822	6.361999178
823	6.360516911
824	6.358673273
825	6.355311532
826	6.353927299
827	6.35281968
828	6.349976636
829	6.347519938
830	6.345593095
831	6.345244261
832	6.343487528
833	6.342539994
834	6.340394815
835	6.338914692
836	6.338621758
837	6.337233875
838	6.334852003
839	6.333500557
840	6.331123537
841	6.328630442
842	6.326504263
843	6.325632083
844	6.324300362
845	6.322414825
846	6.320945889
847	6.317596346
848	6.315968153
849	6.314377602
850	6.313874583
851	6.313615927
852	6.310392036
853	6.308703753
854	6.30832889
855	6.307208828
856	6.305054809
857	6.303243748
858	6.300870684
859	6.299291931
860	6.299014575
861	6.295996861
862	6.295803767
863	6.293472264
864	6.291711272
865	6.290714798
866	6.288519388
867	6.286931936
868	6.285429136
869	6.282472092
870	6.279572618
871	6.278580489
872	6.276800232
873	6.275435393
874	6.275191205
875	6.274180927
876	6.272565516
877	6.271407037
878	6.270972364
879	6.268580995
880	6.268310251
881	6.267911498
882	6.266355934
883	6.265581458
884	6.264426053
885	6.26409006
886	6.262606392
887	6.260280352
888	6.258295447
889	6.258074643
890	6.257132563
891	6.256319658
892	6.25544395
893	6.25383646
894	6.252647547
895	6.251318581
896	6.249962594
897	6.249075978
898	6.246188343
899	6.245221233
900	6.2436836
901	6.24233136
902	6.240559584
903	6.239191762
904	6.237778343
905	6.236110631
906	6.235075049
907	6.234724053
908	6.233420668
909	6.231918435
910	6.230415599
911	6.230179097
912	6.229153943
913	6.22822087
914	6.227020589
915	6.226729693
916	6.22548131
917	6.223986564
918	6.22294363
919	6.2214734
920	6.219562464
921	6.218921669
922	6.21833842
923	6.218033651
924	6.216409333
925	6.215162585
926	6.213483389
927	6.212381868
928	6.211800126
929	6.211550579
930	6.211148913
931	6.209178978
932	6.207589558
933	6.207266568
934	6.205436617
935	6.204156809
936	6.203155578
937	6.200510521
938	6.197874399
939	6.196796581
940	6.19531087
941	6.194383353
942	6.193352032
943	6.191770034
944	6.19053336
945	6.189491441
946	6.18834912
947	6.188140208
948	6.187100096
949	6.186002548
950	6.184837952
951	6.182324298
952	6.17936617
953	6.178251864
954	6.177265871
955	6.17630617
956	6.174973845
957	6.174671733
958	6.172809733
959	6.171591364
960	6.169910899
961	6.16794808
962	6.16727374
963	6.166700871
964	6.164750014
965	6.164006166
966	6.162869737
967	6.162520887
968	6.16144321
969	6.160288754
970	6.157524425
971	6.155783882
972	6.154280492
973	6.153698209
974	6.151640496
975	6.148506596
976	6.146230784
977	6.145327461
978	6.144575333
979	6.143365589
980	6.14226098
981	6.142049255
982	6.140390069
983	6.137761979
984	6.137115881
985	6.13637424
986	6.13520048
987	6.134672421
988	6.133814569
989	6.133373038
990	6.132891772
991	6.131585093
992	6.131097705
993	6.129372027
994	6.126516392
995	6.123806849
996	6.121509678
997	6.119650607
998	6.119294083
999	6.116367836
